Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk,RealReturnClass,RiskClass
2015-09-30,1.08,0.75,28849,8243.0,12430,0.6632,0.0033,0.0171,0.3242,0.0062,0.0286,0.01,545.07,3.0,23.79,33.79,0.0871,1920.030029296875,AMZN,0.2064,1.5981,,
2015-06-30,1.1,0.79,26391,8250.0,11768,0.7011,-0.002,0.008,0.3127,-0.0038,-0.0172,0.01,741.55,2.39,19.31,25.58,0.0428,2063.110107421875,AMZN,0.1336,3.1325,,
2015-03-31,1.12,0.8,25922,8257.0,10873,0.7594,-0.0044,0.0031,0.3031,-0.0089,-0.0382,-0.01,0.0,2.11,17.26,21.7,0.0176,2067.889892578125,AMZN,0.0612,1.7819,,
2014-12-31,1.12,0.82,31327,8265.0,10741,0.7695,-0.0027,0.002,0.2948,-0.0057,-0.0229,0.02,0.0,1.87,15.95,18.61,0.0119,2058.89990234375,AMZN,0.0297,0.4031,,
2014-09-30,0.89,0.54,18572,3099.0,10336,0.2998,-0.0025,0.0011,0.2858,-0.0056,-0.021,-0.05,0.0,1.62,13.44,15.52,0.0072,1972.2900390625,AMZN,0.0192,0.3323,,
2014-06-30,1.0,0.65,18755,3119.0,10602,0.2942,0.0022,0.0075,0.283,0.0049,0.0182,-0.01,0.0,1.76,14.44,16.12,0.0471,1960.22998046875,AMZN,0.0546,2.8214,,
2014-03-31,1.05,0.69,19327,3147.0,10328,0.3047,0.0038,0.0091,0.2776,0.0087,0.0317,0.01,854.68,1.84,14.15,16.24,0.0564,1872.3399658203125,AMZN,0.1062,0.6576,,
2013-12-31,1.07,0.75,24625,3191.0,9746,0.3274,0.0037,0.01,0.2723,0.0084,0.0304,0.03,533.91,1.99,14.98,16.82,0.0617,1848.3599853515625,AMZN,0.1216,0.3748,,
2013-09-30,1.07,0.7,17334,3043.0,9087,0.3349,0.0019,0.0091,0.2655,0.0043,0.0153,-0.01,687.57,2.47,18.78,19.94,0.0549,1681.550048828125,AMZN,0.12,0.4808,,
2013-06-30,1.11,0.74,16285,3042.0,8733,0.3483,-0.0015,0.0095,0.26,-0.0036,-0.0123,-0.0,1116.57,2.04,15.76,15.63,0.0569,1606.280029296875,AMZN,0.1149,0.1414,,
