Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk
2015-09-30,1.04,0.76,8932,11523.0,23184,0.497,0.1792,0.1644,0.5278,0.0834,0.1414,2.01,14.31,3.37,1.97,68.13,0.1061,1920.030029296875,DHR,0.2480126300000003,1.5697770542341358
2015-06-30,1.91,1.53,9655,3053.0,24172,0.1263,0.1319,0.174,0.5242,0.0717,0.1101,0.97,13.31,2.4,1.84,62.41,0.1283,2063.110107421875,DHR,0.2717069300000001,0.0848528137423864
2015-03-31,1.77,1.39,8774,3054.0,23391,0.1306,0.1309,0.1717,0.5229,0.0718,0.1097,0.79,17.24,2.27,1.77,62.59,0.1271,2067.889892578125,DHR,0.27181964000000014,0.09192388155425048
2014-12-31,1.75,1.42,9431,3402.0,23450,0.1451,0.1316,0.1737,0.523,0.0726,0.1105,0.92,17.17,2.25,1.87,61.99,0.1284,2058.89990234375,DHR,0.2746406400000001,0.0848528137423864
2014-09-30,2.23,1.82,9990,2965.0,23810,0.1245,0.1391,0.1751,0.5223,0.0774,0.1171,0.95,17.21,2.27,1.88,62.48,0.1296,1972.2900390625,DHR,0.2764479999999998,0.028284271247462554
2014-06-30,2.16,1.73,9507,3020.0,23789,0.1269,0.1351,0.1727,0.5219,0.076,0.1166,0.95,14.48,2.02,1.63,55.32,0.13,1960.22998046875,DHR,0.27825599999999984,0.0848528137423864
2014-03-31,2.19,1.75,9404,3423.0,23029,0.1486,0.1336,0.1724,0.5216,0.0757,0.1185,0.81,15.43,2.09,1.69,57.25,0.1312,1872.3399658203125,DHR,0.28040527999999987,0.04949747468305727
2013-12-31,2.01,1.62,9114,3437.0,22451,0.1531,0.141,0.1713,0.5209,0.0805,0.1284,1.11,15.01,2.01,1.65,54.47,0.1319,1848.3599853515625,DHR,0.28232950999999984,0.0707106781186545
2013-09-30,1.88,1.42,8024,3446.0,21371,0.1612,0.1347,0.1726,0.5201,0.0767,0.1259,0.84,14.73,2.08,1.74,55.99,0.1329,1681.550048828125,DHR,0.28278267,0.042426406871191945
2013-06-30,1.99,1.53,8231,4101.0,20365,0.2014,0.134,0.172,0.5193,0.0765,0.1273,0.87,14.04,1.9,1.64,50.26,0.1323,1606.280029296875,DHR,0.2824429800000001,0.021213203435595972
2013-03-31,2.02,1.54,7910,4404.0,19749,0.223,0.1344,0.1719,0.5169,0.0771,0.1298,0.98,13.07,1.76,1.57,45.88,0.1326,1569.18994140625,DHR,0.2851612200000002,0.14849242404917432
2012-12-31,1.8,1.37,7588,5288.0,19084,0.2771,0.131,0.1733,0.5156,0.0759,0.1288,0.89,12.94,1.74,1.58,45.03,0.1347,1426.18994140625,DHR,0.2870902100000001,0.028284271247461298
2012-09-30,1.76,1.28,6908,4659.0,18953,0.2458,0.1296,0.1711,0.5109,0.0758,0.1293,0.77,12.05,1.58,1.46,40.48,0.1343,1440.6700439453125,DHR,0.2830067300000001,0.2262741699796954
2012-06-30,1.64,1.18,6610,4848.0,18368,0.2639,0.1279,0.1646,0.5047,0.0755,0.1322,0.84,12.21,1.58,1.46,39.92,0.1311,1362.1600341796875,DHR,0.26954664000000017,0.6151828996322958
2012-03-31,1.67,1.19,6543,4863.0,17891,0.2718,0.1377,0.1617,0.5062,0.0769,0.1386,0.86,11.63,1.48,1.43,37.68,0.1224,1408.469970703125,DHR,0.26056744,0.049497474683058526
2011-12-31,1.5,1.08,6272,5207.0,16972,0.3068,0.135,0.1626,0.5082,0.0755,0.134,0.8,12.13,1.67,1.57,40.5,0.1231,1257.5999755859375,DHR,0.2585458600000001,0.1767766952966369
2011-09-30,1.53,1.05,6315,5813.0,16562,0.351,0.1421,0.164,0.5181,0.0773,0.1347,0.74,10.93,1.48,1.38,34.0,0.1206,1131.4200439453125,DHR,0.26213178000000004,0.40305086527633105
2011-06-30,1.53,1.05,6555,6525.0,16556,0.3941,0.1658,0.1739,0.528,0.0895,0.151,0.94,10.1,1.44,1.26,30.3,0.1263,1320.6400146484375,DHR,0.28026521000000004,0.7353910524340088
2011-03-31,1.85,1.46,6132,2668.0,14724,0.1812,0.1497,0.1724,0.5209,0.0885,0.143,0.63,11.92,1.99,1.58,38.26,0.1367,1325.8299560546875,DHR,0.28697174000000025,0.31819805153394465
2010-12-31,1.83,1.48,6065,2784.0,13773,0.2021,0.1428,0.1633,0.5104,0.0857,0.1409,0.69,13.28,2.0,1.69,37.46,0.1322,1257.6400146484375,DHR,0.26681858,0.9404520189781083
2010-09-30,1.77,1.37,5461,2822.0,13172,0.2142,0.1345,0.1514,0.502,0.0782,0.1302,0.95,12.92,1.85,1.62,34.03,0.1189,1141.199951171875,DHR,0.24947563000000006,0.1555634918610409
2010-06-30,1.69,1.27,5045,2755.0,12058,0.2285,0.1128,0.1482,0.4916,0.0656,0.1104,0.55,12.49,1.69,1.45,29.29,0.1167,1030.7099609375,DHR,0.23641023999999988,0.6717514421272196
2022-04-30,1.03,0.0,20411,9595.0,58876,0.163,0.0359,0.0077,0.731,0.011,0.0175,0.03,179.95,6.51,3.13,185.35,0.0032,4131.93017578125,CRM,0.012028160000000065,0.3959797974644666
2022-01-31,1.05,0.0,22850,10592.0,58131,0.1822,0.0545,0.0207,0.7348,0.0172,0.0271,-0.05,170.82,6.18,2.97,175.94,0.0088,4515.5498046875,CRM,0.025344319999999865,0.5374011537017762
2021-10-31,1.06,0.0,15957,10591.0,57054,0.1856,0.0696,0.0367,0.7402,0.0226,0.0354,0.47,155.09,8.49,3.96,232.63,0.0164,4605.3798828125,CRM,0.038964079999999957,0.4101219330881976
2021-07-31,0.94,0.0,16256,10589.0,55520,0.1907,0.0999,0.0469,0.7434,0.0337,0.0523,0.56,165.57,11.47,5.17,299.69,0.0222,4395.259765625,CRM,0.04458618000000003,0.0212132034355966
2021-04-30,1.33,0.0,20444,2672.0,42567,0.0628,0.1987,0.0425,0.7432,0.0716,0.1091,0.5,97.16,9.66,4.26,241.93,0.0219,4181.169921875,CRM,0.03314090000000003,0.7707463914933369
2021-01-31,1.24,0.0,21889,2673.0,41493,0.0644,0.1916,0.0214,0.7441,0.0688,0.1052,0.27,48.18,9.61,5.0,230.32,0.011,3714.239990234375,CRM,0.016762699999999908,0.3747665940288701
2020-10-31,1.22,0.0,14946,2672.0,40310,0.0663,0.1753,0.0111,0.7447,0.063,0.0967,1.15,51.38,9.83,5.0,225.56,0.0057,3269.9599609375,CRM,0.007510260000000102,0.27577164466275356
2020-07-31,1.15,0.0,14846,2673.0,38440,0.0695,0.1221,0.0035,0.7462,0.0437,0.0675,2.85,60.64,10.37,5.27,232.27,0.0018,3271.1201171875,CRM,0.00019711999999993957,0.24041630560342614
2020-04-30,1.15,0.0,14713,2673.0,34565,0.0773,-0.0092,-0.0029,0.749,-0.0035,-0.0056,0.11,76.11,8.96,4.6,194.85,-0.0016,2912.429931640625,CRM,0.008983039999999942,0.862670273047588
2020-01-31,1.08,0.0,15963,2673.0,33885,0.0789,0.0074,0.0174,0.7523,0.0029,0.005,-0.33,0.0,7.64,4.21,161.95,0.0106,3225.52001953125,CRM,0.030710940000000075,0.6576093065034894
2019-10-31,1.05,0.0,11026,2824.0,33279,0.0849,0.0464,0.0297,0.7501,0.02,0.0357,-0.12,911.55,8.86,4.8,182.31,0.0199,3037.56005859375,CRM,0.046417400000000164,0.4313351365237939
2019-07-31,0.97,0.0,9903,2973.0,17166,0.1732,0.0645,0.0337,0.7477,0.0307,0.0595,0.11,166.48,8.02,4.17,156.49,0.026,2980.3798828125,CRM,0.057190400000000086,0.31112698372208086
2019-04-30,0.96,0.0,10035,3173.0,16446,0.1929,0.0826,0.0395,0.7432,0.0398,0.0769,0.49,129.83,8.26,7.02,154.5,0.0304,2945.830078125,CRM,0.06306367999999996,0.0919238815542511
2019-01-31,0.95,0.0,10683,3173.0,15605,0.2033,0.0836,0.0403,0.7402,0.0418,0.0809,0.45,112.48,9.23,7.8,165.35,0.0317,2704.10009765625,CRM,0.07369018999999999,0.636396103067893
2018-10-31,0.86,0.0,6870,3173.0,14693,0.216,0.0761,0.0485,0.7415,0.0392,0.0768,0.13,105.53,8.84,7.5,151.97,0.0407,2711.739990234375,CRM,0.09502454000000005,0.8131727983645299
2018-07-31,0.8,0.0,6802,3173.0,13528,0.2346,0.0807,0.0567,0.7412,0.0433,0.0873,0.39,128.26,8.35,7.15,137.24,0.0522,2816.2900390625,CRM,0.11354326000000015,0.43133513652379357
2018-04-30,1.29,0.0,10151,3172.0,11060,0.2868,0.0631,0.0575,0.7409,0.0352,0.0726,0.46,135.79,8.69,7.67,137.15,0.0583,2648.050048828125,CRM,0.10835759,0.7778174593052021
2018-01-31,0.95,0.0,9584,695.0,10376,0.067,0.0342,0.0431,0.7369,0.0195,0.0405,0.29,189.05,8.02,8.03,120.99,0.0473,2823.81005859375,CRM,0.08971564999999981,0.4808326112068527
2017-10-31,0.82,0.0,5946,697.0,8829,0.0789,0.0246,0.0372,0.7343,0.0141,0.0301,0.14,670.06,7.9,8.01,113.91,0.0405,2575.260009765625,CRM,0.06609629999999989,1.1242997820866105
2017-07-31,0.77,0.0,5811,713.0,8451,0.0844,0.0108,0.0234,0.7322,0.0061,0.0133,0.06,10234.0,7.39,8.37,102.34,0.0246,2470.300048828125,CRM,0.044682160000000026,0.3535533905932738
2017-04-30,0.71,0.0,5404,696.0,7934,0.0877,0.0321,0.0191,0.7321,0.018,0.0403,0.0,0.0,6.83,7.72,90.8,0.0196,2384.199951171875,CRM,0.04661939999999998,0.48790367901871773
2017-01-31,0.82,0.0,5997,2008.0,7500,0.2677,0.0384,0.0258,0.7351,0.0219,0.0498,0.12,430.6,6.78,7.73,86.12,0.0265,2278.8701171875,CRM,0.041589549999999864,0.834386001800126
2016-10-31,0.6,0.0,3002,1804.0,6806,0.2651,0.026,0.0138,0.7405,0.0152,0.035,-0.05,292.96,6.5,7.46,79.1,0.0147,2126.14990234375,CRM,0.03702340000000004,0.5161879502661795
2016-07-31,0.61,0.0,3278,1797.0,6133,0.293,0.0292,0.0199,0.7472,0.0171,0.0406,0.33,250.53,6.5,7.69,75.16,0.022,2173.60009765625,CRM,0.044177400000000144,0.021213203435596288
2016-04-30,0.74,0.0,3775,1293.0,5584,0.2316,-0.0018,0.0192,0.7498,-0.0011,-0.0026,0.06,263.87,7.42,9.14,81.8,0.0217,2065.300048828125,CRM,0.04152098000000004,0.1626345596729059
2016-01-31,1.02,0.0,5731,1286.0,5003,0.257,-0.0072,0.0172,0.7518,-0.0043,-0.0104,-0.04,0.0,7.16,9.2,75.8,0.0194,1940.239990234375,CRM,0.03000175999999999,0.6363961030678927
2015-10-31,0.74,0.0,2939,1288.0,4750,0.2712,-0.014,0.0094,0.7512,-0.0082,-0.0201,-0.04,0.0,6.76,9.13,68.06,0.0104,2079.360107421875,CRM,0.00928855999999989,0.8131727983645296
2015-07-31,0.71,0.0,2917,1282.0,4536,0.2826,-0.0171,-0.001,0.7526,-0.0099,-0.0247,0.0,0.0,8.06,10.86,77.71,-0.0011,2103.840087890625,CRM,-0.012587349999999997,0.7353910524340094
2015-04-30,0.66,0.0,2605,1276.0,4235,0.3013,-0.0286,-0.0104,0.7561,-0.0164,-0.0423,0.01,0.0,7.91,10.67,73.3,-0.0115,2085.510009765625,CRM,-0.04085844999999988,1.2869343417595167
2015-01-31,0.8,0.0,3515,1371.0,3975,0.3449,-0.0489,-0.027,0.7598,-0.0279,-0.0741,-0.1,0.0,8.16,11.28,72.82,-0.0297,1994.989990234375,CRM,-0.07452786,1.1667261889578033
2014-10-31,0.74,0.0,2439,1365.0,3791,0.3601,-0.0619,-0.0422,0.762,-0.0347,-0.0947,-0.06,0.0,6.52,9.24,56.45,-0.0462,2018.050048828125,CRM,-0.1091508000000001,1.4000714267493644
2014-07-31,0.66,0.0,2305,1299.0,3301,0.3935,-0.0837,-0.0608,0.7604,-0.0457,-0.1289,-0.1,0.0,7.75,10.65,63.99,-0.066,1930.6700439453125,CRM,-0.13081960000000004,0.24041630560342606
2014-04-30,0.61,0.0,2039,1300.0,3132,0.4151,-0.0593,-0.0674,0.7612,-0.0308,-0.0877,-0.16,0.0,6.91,10.17,54.25,-0.0694,1883.949951171875,CRM,-0.13491424000000007,0.0707106781186545
2014-01-31,0.67,0.0,2680,1302.0,3039,0.4284,-0.057,-0.0705,0.7622,-0.0292,-0.0826,-0.18,0.0,7.13,10.13,51.65,-0.0704,1782.5899658203125,CRM,-0.13379872000000004,0.1555634918610409
2013-10-31,0.58,0.0,1801,1304.0,2912,0.4478,-0.0362,-0.0542,0.7663,-0.0194,-0.0518,-0.21,0.0,8.96,12.15,60.53,-0.0682,1756.5400390625,CRM,-0.12839428000000008,0.25455844122715604
2013-07-31,0.55,0.0,1698,1305.0,2819,0.4629,-0.0668,-0.0461,0.7705,-0.0376,-0.0958,0.12,0.0,8.44,11.05,53.36,-0.0646,1685.72998046875,CRM,-0.12904905999999994,0.30405591591021525
2012-10-31,0.54,0.0,1257,64.0,2084,0.0307,-0.0889,-0.0334,0.7766,-0.0581,-0.1373,-0.39,0.0,7.92,10.87,43.03,-0.0469,1412.1600341796875,CRM,-0.05706495999999994,0.247487373415292
2012-07-31,0.8,0.0,1853,50.0,1892,0.0264,-0.014,-0.0193,0.7813,-0.0091,-0.0218,-0.02,0.0,7.12,9.95,36.5,-0.0272,1379.3199462890625,CRM,-0.05338161999999991,0.51618795026618
2012-04-30,0.79,0.0,1323,550.0,1810,0.3039,-0.0126,-0.022,0.7818,-0.0081,-0.0196,-0.04,0.0,6.46,9.13,31.09,-0.0307,1397.9100341796875,CRM,-0.041955399999999976,0.31112698372208086
2012-01-31,0.73,0.0,1672,72.0,1587,0.0454,-0.0049,-0.0154,0.7846,-0.0031,-0.0076,-0.01,0.0,8.63,11.87,38.93,-0.0234,1312.4100341796875,CRM,-0.008993800000000052,2.064751801064719
2011-10-31,0.63,0.0,1148,53.0,1498,0.0354,0.0019,-0.0139,0.7877,0.0012,0.0029,-0.01,0.0,7.04,10.08,29.2,-0.019,1253.300048828125,CRM,0.048587600000000064,1.965756851698602
2011-07-31,0.62,0.0,1115,46.0,1418,0.0324,0.015,0.0083,0.7944,0.0094,0.0225,-0.01,0.0,8.73,12.09,33.29,0.0102,1292.280029296875,CRM,0.09758120000000003,1.3717871555019026
2011-04-30,0.71,0.0,1188,49.0,1256,0.039,0.0269,0.0348,0.8016,0.0165,0.0384,0.0,723.55,10.27,13.83,36.18,0.038,1363.6099853515625,CRM,0.13712795999999972,1.2727922061357848
2011-01-31,0.84,0.0,1075,498.0,1276,0.3903,0.0392,0.0591,0.8051,0.0236,0.0531,0.02,407.65,10.67,14.78,34.65,0.0574,1286.1199951171875,CRM,0.16444311999999983,0.5232590180780453
2010-10-31,1.2,0.0,1193,495.0,1212,0.4084,0.0476,0.0798,0.8076,0.0285,0.0633,0.04,274.77,10.53,13.45,32.29,0.0754,1183.260009765625,CRM,0.18848127999999997,1.0465180361560906
2010-07-31,1.2,0.0,1112,476.0,1256,0.379,0.0508,0.0817,0.8056,0.0319,0.0683,0.03,211.04,9.93,12.58,29.02,0.0828,1101.5999755859375,CRM,0.22459231999999973,1.2798632739476514
2022-03-31,1.61,1.27,21610,12195.0,13328,0.915,0.2842,0.3265,0.5851,0.2671,1.0432,2.57,15.95,4.54,13.12,155.86,0.5336,4530.41015625,QCOM,1.2657406399999998,3.973940110268395
2021-12-31,1.65,1.33,20222,13708.0,11333,1.2096,0.2771,0.3088,0.5816,0.2497,1.0831,2.98,15.56,4.43,12.8,152.01,0.4774,4766.18017578125,QCOM,1.1146026199999999,3.2597622612699837
2021-09-30,1.68,1.41,20075,13701.0,9950,1.377,0.2694,0.2916,0.5751,0.2339,1.0984,2.45,20.75,5.76,17.98,181.17,0.4313,4307.5400390625,QCOM,1.10057588,2.5667976157071695
2021-06-30,1.72,1.45,19693,13695.0,8177,1.6748,0.2825,0.3174,0.5982,0.2471,1.267,1.77,16.17,4.36,14.39,127.29,0.4676,4297.5,QCOM,1.08193736,3.4648232278140867
2021-03-31,2.02,1.72,18299,15235.0,7424,2.0521,0.2728,0.3035,0.5999,0.2251,1.3267,1.53,17.55,4.96,19.37,140.4,0.4186,3972.889892578125,QCOM,0.97440748,1.895046173579947
2020-12-31,2.15,1.87,19792,15231.0,7380,2.0638,0.2521,0.2904,0.6017,0.196,1.3586,2.12,18.59,5.07,19.71,129.59,0.3918,3756.070068359375,QCOM,0.85930562,3.952726906832803
2020-09-30,2.14,1.84,18519,15226.0,6077,2.5055,0.2209,0.2658,0.6067,0.1564,1.2273,2.57,25.32,6.38,22.8,148.12,0.3359,3363.0,QCOM,0.5976028100000002,9.899494936611664
2020-06-30,1.97,1.67,15558,15425.0,3306,4.6658,0.1372,0.1752,0.5696,0.0842,0.6959,0.74,25.15,5.57,21.2,113.93,0.1959,3100.2900390625,QCOM,0.7323807399999998,17.868588360584056
2020-03-31,1.57,1.39,15313,13449.0,3045,4.4167,0.1636,0.3249,0.6507,0.1225,0.9031,0.41,37.06,5.12,29.97,87.84,0.4486,2584.590087890625,QCOM,1.07019426,1.3788582233137696
2019-12-31,1.76,1.61,16205,13437.0,4513,2.9774,0.1731,0.3259,0.6522,0.1264,0.9051,0.8,19.13,3.13,23.93,64.65,0.4291,3230.780029296875,QCOM,1.0094575099999998,1.6263455967290572
2019-09-30,1.88,1.72,16765,13437.0,4909,2.7372,0.1807,0.3159,0.6457,0.1296,0.9826,0.42,23.77,4.13,21.19,83.68,0.4061,2976.739990234375,QCOM,0.8883922999999998,4.461843789287111
2019-06-30,1.77,1.61,19204,13426.0,5463,2.4576,0.1334,0.2492,0.6302,0.0997,0.9793,1.75,20.0,3.62,16.75,71.81,0.343,2941.760009765625,QCOM,0.45138009999999995,18.547410870523144
2019-03-31,1.55,1.39,16324,15405.0,3866,3.9847,0.1143,0.0885,0.5416,0.0594,0.3087,0.55,25.2,3.58,15.84,71.06,0.0807,2834.39990234375,QCOM,0.13008799000000004,2.4748737341529172
2018-12-31,1.54,1.38,16294,15388.0,3617,4.2544,0.0974,0.0623,0.5439,0.0432,0.1627,0.87,27.93,3.35,16.58,52.78,0.0457,2506.85009765625,QCOM,0.06410432000000021,1.986970055134198
2018-09-30,1.53,1.38,17384,15365.0,807,19.0397,-0.2195,0.0275,0.5469,-0.0889,-0.2772,-0.37,32.96,3.44,17.42,52.08,0.0176,2913.97998046875,QCOM,0.05484416000000003,1.3435028842544403
2018-06-30,2.73,2.62,44318,15378.0,23068,0.6666,-0.1895,0.0705,0.5575,-0.0672,-0.1695,0.81,0.0,4.27,98.51,65.21,0.0366,2718.3701171875,QCOM,0.06914924,0.367695526217005
2018-03-31,3.6,3.46,45544,19361.0,23819,0.8128,-0.2062,0.0653,0.5536,-0.0718,-0.169,0.22,0.0,3.3,3.21,50.36,0.0314,2640.8701171875,QCOM,0.07141832000000004,0.5232590180780453
2017-12-31,3.41,3.25,40966,19381.0,23924,0.8101,-0.1893,0.0807,0.5509,-0.0674,-0.1439,-4.05,0.0,3.25,3.06,49.2,0.0388,2673.610107421875,QCOM,0.09728443999999992,1.2374368670764582
2017-09-30,4.0,3.81,43593,19398.0,30746,0.6309,0.1098,0.116,0.5601,0.041,0.0785,0.1,0.0,3.76,3.49,56.36,0.0563,2519.360107421875,QCOM,0.15495842000000004,2.6233661582020913
2017-06-30,2.95,2.73,27021,19403.0,31283,0.6202,0.1726,0.1809,0.5712,0.0692,0.1241,0.58,27.43,3.03,2.17,45.26,0.0934,2423.409912109375,QCOM,0.22340525999999983,1.8031222920256966
2017-03-31,1.67,1.46,16908,9939.0,31334,0.3172,0.1925,0.2109,0.5816,0.0846,0.1432,0.5,18.27,3.16,2.25,47.69,0.1189,2362.719970703125,QCOM,0.27218929999999997,1.2798632739476514
2016-12-31,1.97,1.74,15779,9935.0,31206,0.3184,0.2056,0.235,0.5938,0.0951,0.1587,0.46,16.34,3.15,2.31,49.03,0.137,2238.830078125,QCOM,0.31903369999999986,1.6334166645409227
2016-09-30,3.14,2.93,22981,10008.0,31768,0.315,0.2422,0.2757,0.5861,0.1122,0.1866,1.07,16.84,3.47,2.62,55.24,0.1601,2168.27001953125,QCOM,0.32738642000000007,1.1242997820866092
2016-06-30,3.07,2.87,20979,10024.0,30638,0.3272,0.2264,0.2555,0.5855,0.1024,0.1696,0.97,15.11,3.67,2.68,57.58,0.1442,2098.860107421875,QCOM,0.2967218600000001,0.7707463914933367
2016-03-31,2.87,2.67,20157,9993.0,29637,0.3372,0.217,0.2422,0.5853,0.0965,0.1577,0.78,13.1,3.0,2.15,44.65,0.1333,2059.739990234375,QCOM,0.32958756,2.8213560569343246
2015-12-31,3.13,2.94,20338,9950.0,30233,0.3291,0.2002,0.2253,0.5882,0.0957,0.1446,0.99,13.32,2.93,2.09,42.22,0.1732,2043.93994140625,QCOM,0.49395288000000015,7.085209947489203
2022-03-31,1.32,1.23,30121,37450.0,31645,1.1834,0.1331,0.1545,0.7962,0.0576,0.1763,0.59,25.9,3.46,4.91,73.04,0.0964,4530.41015625,BMY,0.20943884000000001,0.4737615433949868
2021-12-31,1.52,1.43,33262,39605.0,36006,1.1,0.1508,0.1746,0.7857,0.0631,0.1892,1.07,25.72,3.44,4.88,72.52,0.1031,4766.18017578125,BMY,0.045849109999999804,10.960155108391488
2021-09-30,1.47,1.36,31443,39677.0,37284,1.0642,-0.1189,-0.0926,0.7692,-0.0478,-0.1444,0.69,19.53,2.96,3.68,60.93,-0.0519,4307.5400390625,BMY,-0.09788285000000008,0.24041630560342606
2021-06-30,1.54,1.42,29161,42503.0,36874,1.1527,-0.1144,-0.0926,0.7588,-0.0435,-0.1249,0.47,0.0,2.87,3.44,57.82,-0.0485,4297.5,BMY,-0.09226900000000005,0.1767766952966375
2021-03-31,1.56,1.45,27111,44505.0,37673,1.1814,-0.1453,-0.0943,0.7442,-0.0513,-0.1422,0.89,0.0,3.28,3.87,64.28,-0.046,3972.889892578125,BMY,-0.11850399999999994,2.1213203435596424
2020-12-31,1.58,1.47,30192,48336.0,37882,1.276,-0.212,-0.1616,0.7231,-0.0719,-0.1926,-4.43,0.0,3.22,3.6,60.73,-0.076,3756.070068359375,BMY,-0.04153479999999987,8.011519830843584
2020-09-30,1.68,1.58,34277,41364.0,50230,0.8235,-0.0011,0.0876,0.7118,-0.0003,-0.0009,0.82,0.0,3.16,3.47,59.22,0.0373,3363.0,BMY,0.07018241000000014,0.39597979746446665
2020-06-30,1.47,1.37,34343,41853.0,49160,0.8514,-0.0161,0.0729,0.6947,-0.0051,-0.0134,-0.04,0.0,3.06,2.55,56.68,0.0317,3100.2900390625,BMY,0.07276166000000006,0.5727564927611039
2020-03-31,1.66,1.51,31853,42844.0,49977,0.8573,0.0308,0.0868,0.6802,0.0103,0.0281,-0.34,0.0,3.12,2.52,54.86,0.0398,2584.590087890625,BMY,0.14388398000000024,4.2638538905548815
2019-12-31,1.6,1.37,29354,43387.0,51698,0.8392,0.1315,0.1903,0.691,0.0496,0.1363,-0.73,63.68,3.05,2.34,51.58,0.1001,3230.780029296875,BMY,0.33563140999999996,8.061017305526642
2019-09-30,3.83,3.72,40191,24390.0,17754,1.3738,0.2339,0.2734,0.7023,0.124,0.3571,0.83,26.93,3.74,2.54,58.99,0.2141,2976.739990234375,BMY,0.5721380899999999,5.713422791987303
2019-06-30,3.88,3.75,37716,24433.0,16151,1.5128,0.26,0.3113,0.7043,0.1563,0.4181,0.87,13.32,3.13,4.24,46.22,0.2949,2941.760009765625,BMY,0.7031819700000002,1.4424978336205587
2019-03-31,1.93,1.79,17093,5635.0,15317,0.3679,0.2209,0.2649,0.712,0.1511,0.37,1.04,10.78,2.81,4.15,40.97,0.3153,2834.39990234375,BMY,0.7285672600000002,0.07778174593052234
2018-12-31,1.66,1.55,17716,5646.0,14127,0.3997,0.2181,0.2645,0.7134,0.1464,0.3699,0.71,13.52,3.0,4.56,42.73,0.3142,2506.85009765625,BMY,0.6757364200000002,2.7647875144393983
2018-09-30,1.53,1.4,14869,5687.0,13750,0.4136,0.065,0.2342,0.7069,0.0431,0.1125,1.16,15.23,3.35,5.3,46.13,0.2751,2913.97998046875,BMY,0.5500115600000002,4.2072853480599575
2018-06-30,1.41,1.28,13874,5671.0,12418,0.4567,0.0174,0.1934,0.7042,0.0113,0.0289,0.23,62.21,4.08,6.5,54.74,0.2156,2718.3701171875,BMY,0.5125710800000001,2.0293964620053897
2018-03-31,1.52,1.39,14649,5775.0,12906,0.4475,0.0437,0.2355,0.699,0.0274,0.0675,0.91,210.67,3.69,6.37,48.45,0.2443,2640.8701171875,BMY,0.5475359099999999,0.042426406871191945
2017-12-31,1.55,1.43,14854,6975.0,11847,0.5888,0.0485,0.247,0.7105,0.0301,0.0718,-1.4,98.26,4.31,6.97,55.03,0.2437,2673.610107421875,BMY,0.55760988,0.615182899632297
2017-09-30,1.59,1.46,15048,6982.0,14914,0.4682,0.2056,0.2683,0.7171,0.1262,0.2791,0.51,89.78,4.22,7.27,52.97,0.2524,2519.360107421875,BMY,0.5911742,1.27986327394765
2017-06-30,1.59,1.45,14324,6911.0,14821,0.4663,0.2266,0.2913,0.726,0.1371,0.2984,0.56,21.56,4.42,6.01,54.76,0.2705,2423.409912109375,BMY,0.6331007000000002,1.0535891039679548
2017-03-31,1.6,1.44,13615,7237.0,14535,0.4979,0.2422,0.3113,0.7404,0.1452,0.3133,0.94,17.29,3.92,5.26,47.54,0.2854,2362.719970703125,BMY,0.6370854400000001,0.8343860018001259
2016-12-31,1.55,1.41,13704,5716.0,16347,0.3497,0.2294,0.3045,0.7442,0.1349,0.2887,0.53,15.99,3.87,5.22,46.06,0.2736,2238.830078125,BMY,0.5372352000000002,4.709331162702407
2016-09-30,1.47,1.3,13204,5836.0,15781,0.3698,0.1822,0.2392,0.7556,0.1034,0.225,0.72,18.56,4.25,5.01,49.18,0.207,2168.27001953125,BMY,0.42377719999999997,1.937472580451139
2016-06-30,1.56,1.38,12298,6581.0,15078,0.4365,0.1629,0.2184,0.7555,0.0895,0.1935,0.69,22.09,4.1,4.75,45.06,0.1796,2098.860107421875,BMY,0.30499148,5.183092706097393
2016-03-31,1.48,1.3,11215,6593.0,14551,0.4531,0.0931,0.1351,0.7567,0.0494,0.1057,0.71,35.32,5.86,6.78,61.46,0.1063,2059.739990234375,BMY,0.21117724000000004,0.8131727983645299
2015-12-31,1.3,1.15,10415,6550.0,14424,0.4541,0.0945,0.1254,0.7639,0.0485,0.1032,-0.12,54.75,5.26,6.06,53.11,0.0948,2043.93994140625,BMY,0.2144616399999999,1.0253048327204934
2015-09-30,1.81,1.65,12926,6632.0,15273,0.4342,0.1074,0.1468,0.7627,0.0542,0.1159,0.42,58.61,5.75,6.55,56.85,0.1093,1920.030029296875,BMY,0.23076834999999996,0.014142135623730649
2015-06-30,1.76,1.58,13056,6615.0,15291,0.4326,0.1093,0.1494,0.766,0.0539,0.1171,-0.08,45.9,4.92,5.29,48.66,0.1095,2063.110107421875,BMY,0.24929699999999988,1.1667261889578036
2015-03-31,1.94,1.75,14925,7127.0,15689,0.4543,0.1399,0.1765,0.7634,0.0671,0.1471,0.71,50.52,5.51,5.86,54.05,0.126,2067.889892578125,BMY,0.2446803999999998,1.4566399692442884
2014-12-31,1.73,1.54,14608,7242.0,14983,0.4833,0.1262,0.1499,0.7524,0.0598,0.1312,0.01,38.59,5.4,5.51,52.09,0.1054,2058.89990234375,BMY,0.2656829999999999,2.8001428534987274
